Author,Year,N,non-infection/ICI,ALT,N1,non-infection/control,ALT1,OR,L,U,AEType1
Chen,2024,37,185,222,26,193,219,1.403846,0.8813221,2.236168,TEAE
Pujade_Ave+chemo,2021,6,176,182,1,176,177,5.835165,0.7096354,47.98119,TRAE
Pujade_Ave,2021,7,180,187,1,176,177,6.625668,0.8234346,53.31265,TRAE
Qin,2024,3,159,162,2,123,125,1.157407,0.1963681,6.82184,TRAE
Westin,2023,3,232,235,3,233,236,1.004255,0.2047714,4.925145,TEAE
Oh,2024,14,324,338,12,330,342,1.180473,0.5541343,2.514765,TEAE
Lu,2025,81,254,335,51,276,327,1.550307,1.130837,2.125375,TEAE
Monk,2023,2,383,385,2,382,384,0.9974026,0.1412115,7.044837,TEAE
Powles,2018,0,459,459,3,442,445,0.2424078,0.02719792,2.160516,TRAE
Horn,2018,5,193,198,3,193,196,1.649832,0.3997088,6.809819,TRAE
Mittendorf,2020,5,159,164,0,167,167,6.072289,0.739034,49.89313,TEAE
Jotte_subgroup1,2020,6,326,332,6,328,334,1.006024,0.327797,3.08753,TRAE
Jotte_subgroup2,2020,6,327,333,6,328,334,1.006024,0.327797,3.08753,TRAE
Antonia,2017,42,433,475,17,217,234,1.21709,0.7083795,2.091121,TEAE
André,2020,16,137,153,8,135,143,1.869281,0.8253408,4.233659,TEAE
Pal,2022,43,347,390,23,360,383,1.836009,1.12896,2.985871,TEAE
Herbst,2020,31,255,286,33,230,263,0.8638483,0.5449214,1.369434,TEAE
Antoniotti,2022,1,141,142,0,72,72,1.027778,0.09473469,11.15037,TEAE
Schmid,2020,100,353,453,59,378,437,1.635051,1.218937,2.193215,TEAE
Felip,2023,84,411,495,46,449,495,1.826087,1.303358,2.558462,TRAE
Lee,2023,0,300,300,1,146,147,0.2466887,0.02254832,2.698885,TRAE
Oaknin,2024,23,182,205,14,185,199,1.594774,0.8450226,3.009745,TEAE
Rudin,2020,26,197,223,25,198,223,1.04,0.6203541,1.74352,TEAE
Cohen,2019,4,242,246,10,224,234,0.3804878,0.121001,1.196445,TRAE
Burtness_Pem,2019,20,280,300,21,266,287,0.9111111,0.5047447,1.64464,TRAE
Burtness_Pem+chemo,2019,21,256,277,21,266,287,1.036101,0.5790076,1.854044,TRAE
Moore,2021,18,624,642,14,630,644,1.28972,0.6469988,2.570911,TEAE
Ren,2023,1,212,213,2,196,198,0.464789,0.042474,5.086129,TEAE
Winer,2021,2,307,309,6,286,292,0.3149946,0.06408671,1.54824,TRAE
Colombo,2021,0,307,307,1,309,310,0.5048544,0.04601327,5.539227,TEAE
Choueiri,2021,13,476,489,2,494,496,6.593047,1.495615,29.0638,TEAE
Popat,2020,1,71,72,0,70,70,1.945946,0.180374,20.99366,TEAE
Langer,2016,1,58,59,0,62,62,2.098361,0.1952284,22.55368,TEAE
Chung,2021,0,47,47,4,40,44,0.1877551,0.02278514,1.547148,TEAE
Mok,2019,0,636,636,5,610,615,0.1611808,0.01946035,1.334983,TRAE
Shitara,2024,3,396,399,1,399,400,3.007519,0.3141625,28.79137,TEAE
Rha,2023,9,776,785,8,779,787,1.127866,0.4373964,2.908305,TEAE
Long,2022,4,479,483,4,482,486,1.006211,0.2530915,4.000376,TEAE
O'Brien,2022,19,561,580,10,571,581,1.903276,0.8927342,4.057713,TRAE
Bellmunt,2017,14,252,266,4,251,255,3.355263,1.119265,10.0582,TRAE
Lorusso,2024,58,470,528,54,476,530,1.078143,0.7593734,1.530724,TRAE
Cortes,2020,1,561,562,0,281,281,1.003546,0.091382,11.02086,TEAE
